threshold,precision,recall,f1,false_negatives
0.05,0.5,0.8892988929889298,0.6401062416998672,30
0.060000000000000005,0.5427251732101617,0.8671586715867159,0.6676136363636364,36
0.07,0.5894206549118388,0.8634686346863468,0.7005988023952096,37
0.08000000000000002,0.6341463414634146,0.8634686346863468,0.73125,37
0.09000000000000001,0.6638176638176638,0.8597785977859779,0.7491961414790996,38
0.1,0.6884272997032641,0.8560885608856088,0.7631578947368421,39
0.11000000000000001,0.7042682926829268,0.8523985239852399,0.7712854757929883,40
0.12000000000000002,0.721875,0.8523985239852399,0.7817258883248731,40
0.13,0.7387096774193549,0.8450184501845018,0.7882960413080895,42
0.14,0.75,0.8413284132841329,0.7930434782608695,43
0.15000000000000002,0.7625418060200669,0.8413284132841329,0.8,43
0.16000000000000003,0.7781569965870307,0.8413284132841329,0.8085106382978723,43
0.17000000000000004,0.7916666666666666,0.8413284132841329,0.815742397137746,43
0.18000000000000002,0.7992957746478874,0.8376383763837638,0.818018018018018,44
0.19000000000000003,0.8057553956834532,0.8265682656826568,0.8160291438979964,47
0.20000000000000004,0.8086642599277978,0.8265682656826568,0.8175182481751825,47
0.21000000000000002,0.8205128205128205,0.8265682656826568,0.8235294117647058,47
0.22000000000000003,0.8389513108614233,0.8265682656826568,0.8327137546468402,47
0.23000000000000004,0.8389513108614233,0.8265682656826568,0.8327137546468402,47
0.24000000000000005,0.8377358490566038,0.8191881918819188,0.8283582089552238,49
0.25000000000000006,0.842911877394636,0.8118081180811808,0.8270676691729323,51
0.26000000000000006,0.8423076923076923,0.8081180811808119,0.8248587570621468,52
0.27,0.8588235294117647,0.8081180811808119,0.8326996197718631,52
0.28,0.857707509881423,0.8007380073800738,0.8282442748091603,54
0.29000000000000004,0.8565737051792829,0.7933579335793358,0.8237547892720306,56
0.30000000000000004,0.8634538152610441,0.7933579335793358,0.8269230769230769,56
0.31000000000000005,0.8669354838709677,0.7933579335793358,0.8285163776493256,56
0.32000000000000006,0.8775510204081632,0.7933579335793358,0.8333333333333334,56
0.33000000000000007,0.8775510204081632,0.7933579335793358,0.8333333333333334,56
0.3400000000000001,0.8842975206611571,0.7896678966789668,0.834307992202729,57
0.3500000000000001,0.8879668049792531,0.7896678966789668,0.8359375,57
0.36000000000000004,0.8870292887029289,0.7822878228782287,0.8313725490196079,59
0.37000000000000005,0.8860759493670886,0.7749077490774908,0.8267716535433071,61
0.38000000000000006,0.8936170212765957,0.7749077490774908,0.8300395256916996,61
0.39000000000000007,0.8936170212765957,0.7749077490774908,0.8300395256916996,61
0.4000000000000001,0.8936170212765957,0.7749077490774908,0.8300395256916996,61
0.4100000000000001,0.9008620689655172,0.7712177121771218,0.831013916500994,62
0.4200000000000001,0.9004329004329005,0.7675276752767528,0.8286852589641435,63
0.43000000000000005,0.9082969432314411,0.7675276752767528,0.832,63
0.44000000000000006,0.9078947368421053,0.7638376383763837,0.8296593186372746,64
0.45000000000000007,0.9118942731277533,0.7638376383763837,0.8313253012048193,64
0.4600000000000001,0.911504424778761,0.7601476014760148,0.8289738430583501,65
0.4700000000000001,0.911504424778761,0.7601476014760148,0.8289738430583501,65
0.4800000000000001,0.9196428571428571,0.7601476014760148,0.8323232323232324,65
0.4900000000000001,0.9192825112107623,0.7564575645756457,0.8299595141700404,66
0.5000000000000001,0.9230769230769231,0.7527675276752768,0.8292682926829268,67
0.5100000000000001,0.9230769230769231,0.7527675276752768,0.8292682926829268,67
0.5200000000000001,0.9223744292237442,0.7453874538745388,0.8244897959183674,69
0.5300000000000001,0.926605504587156,0.7453874538745388,0.8261758691206544,69
0.5400000000000001,0.926605504587156,0.7453874538745388,0.8261758691206544,69
0.55,0.926605504587156,0.7453874538745388,0.8261758691206544,69
0.56,0.9299065420560748,0.7343173431734318,0.8206185567010309,72
0.5700000000000001,0.9295774647887324,0.7306273062730627,0.8181818181818182,73
0.5800000000000001,0.9339622641509434,0.7306273062730627,0.8198757763975155,73
0.5900000000000001,0.9339622641509434,0.7306273062730627,0.8198757763975155,73
0.6000000000000001,0.9339622641509434,0.7306273062730627,0.8198757763975155,73
0.6100000000000001,0.933649289099526,0.7269372693726938,0.8174273858921162,74
0.6200000000000001,0.933649289099526,0.7269372693726938,0.8174273858921162,74
0.6300000000000001,0.933649289099526,0.7269372693726938,0.8174273858921162,74
0.6400000000000001,0.933649289099526,0.7269372693726938,0.8174273858921162,74
0.6500000000000001,0.9420289855072463,0.7195571955719557,0.8158995815899581,76
0.6600000000000001,0.9509803921568627,0.7158671586715867,0.8168421052631579,77
0.6700000000000002,0.9509803921568627,0.7158671586715867,0.8168421052631579,77
0.6800000000000002,0.9509803921568627,0.7158671586715867,0.8168421052631579,77
0.6900000000000002,0.9504950495049505,0.7084870848708487,0.8118393234672304,79
0.7000000000000002,0.9502487562189055,0.7047970479704797,0.809322033898305,80
0.7100000000000002,0.949748743718593,0.6974169741697417,0.8042553191489362,82
0.7200000000000001,0.9494949494949495,0.6937269372693727,0.8017057569296375,83
0.7300000000000001,0.9543147208121827,0.6937269372693727,0.8034188034188035,83
0.7400000000000001,0.9543147208121827,0.6937269372693727,0.8034188034188035,83
0.7500000000000001,0.958974358974359,0.6900369003690037,0.8025751072961373,84
0.7600000000000001,0.9587628865979382,0.6863468634686347,0.8,85
0.7700000000000001,0.9583333333333334,0.6789667896678967,0.7948164146868251,87
0.7800000000000001,0.9583333333333334,0.6789667896678967,0.7948164146868251,87
0.7900000000000001,0.9629629629629629,0.6715867158671587,0.7913043478260869,89
0.8000000000000002,0.9625668449197861,0.6642066420664207,0.7860262008733624,91
0.8100000000000002,0.9625668449197861,0.6642066420664207,0.7860262008733624,91
0.8200000000000002,0.9625668449197861,0.6642066420664207,0.7860262008733624,91
0.8300000000000002,0.9623655913978495,0.6605166051660517,0.7833698030634574,92
0.8400000000000002,0.9621621621621622,0.6568265682656826,0.7807017543859649,93
0.8500000000000002,0.9672131147540983,0.6531365313653137,0.7797356828193832,94
0.8600000000000002,0.9723756906077348,0.6494464944649446,0.7787610619469026,95
0.8700000000000001,0.9720670391061452,0.6420664206642066,0.7733333333333333,97
0.8800000000000001,0.9719101123595506,0.6383763837638377,0.7706013363028953,98
0.8900000000000001,0.9719101123595506,0.6383763837638377,0.7706013363028953,98
0.9000000000000001,0.9717514124293786,0.6346863468634686,0.7678571428571429,99
0.9100000000000001,0.9715909090909091,0.6309963099630996,0.7651006711409396,100
0.9200000000000002,0.9760479041916168,0.6014760147601476,0.7442922374429224,108
0.9300000000000002,0.9934640522875817,0.5608856088560885,0.7169811320754716,119
0.9400000000000002,0.993006993006993,0.5239852398523985,0.6859903381642513,129
0.9500000000000002,0.991304347826087,0.42066420664206644,0.5906735751295337,157
