threshold,precision,recall,f1,false_negatives
0.05,0.2734375,0.9040590405904059,0.4198800342759212,26
0.060000000000000005,0.29001203369434414,0.8892988929889298,0.43738656987295826,30
0.07,0.3145478374836173,0.8856088560885609,0.46421663442940037,31
0.08000000000000002,0.3328631875881523,0.8708487084870848,0.4816326530612245,35
0.09000000000000001,0.3566009104704097,0.8671586715867159,0.5053763440860215,36
0.1,0.3722044728434505,0.8597785977859779,0.5195094760312151,38
0.11000000000000001,0.3921901528013582,0.8523985239852399,0.5372093023255814,40
0.12000000000000002,0.41323792486583183,0.8523985239852399,0.5566265060240964,40
0.13,0.4245810055865922,0.8413284132841329,0.5643564356435643,43
0.14,0.43700787401574803,0.8191881918819188,0.5699614890885751,49
0.15000000000000002,0.4515463917525773,0.8081180811808119,0.5793650793650794,52
0.16000000000000003,0.468682505399568,0.8007380073800738,0.5912806539509536,54
0.17000000000000004,0.48329621380846327,0.8007380073800738,0.6027777777777777,54
0.18000000000000002,0.4908256880733945,0.7896678966789668,0.6053748231966054,57
0.19000000000000003,0.5047169811320755,0.7896678966789668,0.6158273381294964,57
0.20000000000000004,0.5158924205378973,0.7785977859778598,0.6205882352941177,60
0.21000000000000002,0.5226130653266332,0.7675276752767528,0.6218236173393124,63
0.22000000000000003,0.5259067357512953,0.7490774907749077,0.6179604261796042,68
0.23000000000000004,0.5382513661202186,0.7269372693726938,0.6185243328100472,74
0.24000000000000005,0.5514285714285714,0.7121771217712177,0.6215780998389694,78
0.25000000000000006,0.5588235294117647,0.7011070110701108,0.6219312602291326,81
0.26000000000000006,0.5727272727272728,0.6974169741697417,0.6289517470881864,82
0.27,0.5802469135802469,0.6937269372693727,0.6319327731092437,83
0.28,0.584375,0.6900369003690037,0.6328257191201354,84
0.29000000000000004,0.597444089456869,0.6900369003690037,0.6404109589041096,84
0.30000000000000004,0.6118421052631579,0.6863468634686347,0.6469565217391304,85
0.31000000000000005,0.6237288135593221,0.6789667896678967,0.6501766784452296,87
0.32000000000000006,0.6325088339222615,0.6605166051660517,0.6462093862815884,92
0.33000000000000007,0.6327272727272727,0.6420664206642066,0.6373626373626373,97
0.3400000000000001,0.6333333333333333,0.6309963099630996,0.6321626617375231,100
0.3500000000000001,0.6377358490566037,0.6236162361623616,0.6305970149253731,102
0.36000000000000004,0.6346153846153846,0.6088560885608856,0.6214689265536724,106
