model,accuracy,precision,recall,f1,roc_auc,pr_auc,false_negatives,false_positives,true_positives,true_negatives,training_time_seconds
SVM,0.9225,0.291866028708134,0.8970588235294118,0.4404332129963899,0.9699564608452077,0.6549848415530759,7,148,61,1784,0.8204619579773862
Logistic Regression,0.802,0.12895927601809956,0.8382352941176471,0.2235294117647059,0.8823529411764706,0.32414434808881526,11,385,57,1547,0.025674875010736287
XGBoost,0.9855,0.7671232876712328,0.8235294117647058,0.7943262411347518,0.9799887346242845,0.8640853260763948,12,17,56,1915,0.3313927500275895
Decision Tree,0.951,0.39285714285714285,0.8088235294117647,0.5288461538461539,0.8960502679332603,0.725941682575049,13,85,55,1847,0.014851957996143028
Gradient Boosting,0.992,0.9642857142857143,0.7941176470588235,0.8709677419354839,0.9741353062964315,0.8974040920377807,14,2,54,1930,1.1381465829908848
Random Forest,0.9895,0.8983050847457628,0.7794117647058824,0.8346456692913385,0.9758479478748021,0.8440900506263839,15,6,53,1926,0.27043137498549186
Naive Bayes,0.9625,0.42857142857142855,0.3088235294117647,0.358974358974359,0.8911749482401656,0.34996956549989033,47,28,21,1904,0.0009567079832777381
KNN,0.974,0.9,0.2647058823529412,0.4090909090909091,0.8591637742053342,0.4626798960990851,50,2,18,1930,0.0055932919785846025
